中央卫视,#genre#
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
大湾卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
云南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
贵州卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
宁夏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
甘肃卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
西藏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
安多卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
新疆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
延边卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
内蒙卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
农林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
凤凰卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
辽宁频道,#genre#
辽宁北方,http://[2409:8087:1414:22::112d]/wh7f454c46tw3571653152_-2066612672/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226755/index.m3u8
辽宁北方,http://[2409:8087:1414:22::112d]/wh7f454c46tw3605758820_-2143308693/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226755/index.m3u8
辽宁北方,http://[2409:8087:1414:22::112d]/wh7f454c46tw3498689980_663871177/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226755/index.m3u8
辽宁北方,http://[2409:8087:1414:22::112d]/wh7f454c46tw3669132437_-1850260639/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226755/index.m3u8
辽宁北方,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226755/index.m3u8?from=21
辽宁北方,http://39.135.129.172/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226755/index.m3u8
辽宁都市,http://[2409:8087:1414:22::112d]/wh7f454c46tw3571653152_-2066612672/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226760/index.m3u8
辽宁都市,http://[2409:8087:1414:22::112d]/wh7f454c46tw3669132437_-1850260639/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226760/index.m3u8
辽宁都市,http://[2409:8087:1414:22::112d]/wh7f454c46tw3821303500_-921252786/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226760/index.m3u8
辽宁都市,http://[2409:8087:1414:22::112d]/wh7f454c46tw3498689980_663871177/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226760/index.m3u8
辽宁都市,http://[2409:8087:1414:22::112d]/wh7f454c46tw3605758820_-2143308693/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226760/index.m3u8
辽宁都市,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8?from=21
辽宁都市,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226860/index.m3u8?from=21
辽宁都市,http://39.135.129.164/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226760/index.m3u8
辽宁公共,http://[2409:8087:1414:22::112d]/wh7f454c46tw3498689980_663871177/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226766/index.m3u8
辽宁公共,http://[2409:8087:1414:22::112d]/wh7f454c46tw3571653152_-2066612672/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226766/index.m3u8
辽宁公共,http://[2409:8087:1414:22::112d]/wh7f454c46tw3605758820_-2143308693/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226766/index.m3u8
辽宁公共,http://[2409:8087:1414:22::112d]/wh7f454c46tw3669132437_-1850260639/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226766/index.m3u8
辽宁公共,http://[2409:8087:1414:22::112d]/wh7f454c46tw3821303500_-921252786/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226766/index.m3u8
辽宁公共,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226766/index.m3u8?from=21
辽宁教育青少,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226847/index.m3u8?from=21
辽宁教育青少,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226763/index.m3u8?from=21
辽宁教育青少,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226763/index.m3u8
辽宁经济,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226735/index.m3u8?from=21
辽宁经济,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226863/index.m3u8?from=21
辽宁生活,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226761/index.m3u8?from=21
辽宁生活,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226678/index.m3u8?from=21
辽宁生活,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226850/index.m3u8?from=21
辽宁生活,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226761/index.m3u8
辽宁体育,http://[2409:8087:1414:22::112d]/wh7f454c46tw3571653152_-2066612672/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226764/index.m3u8
辽宁体育,http://[2409:8087:1414:22::112d]/wh7f454c46tw3821303500_-921252786/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226764/index.m3u8
辽宁体育,http://[2409:8087:1414:22::112d]/wh7f454c46tw3605758820_-2143308693/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226764/index.m3u8
辽宁体育,http://[2409:8087:1414:22::112d]/wh7f454c46tw3498689980_663871177/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226764/index.m3u8
辽宁体育,http://[2409:8087:1414:22::112d]/wh7f454c46tw3669132437_-1850260639/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226764/index.m3u8
辽宁体育,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226764/index.m3u8?from=21
辽宁体育,http://[2409:8087:1414:22::112d]/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226783/index.m3u8?from=21
辽宁体育,http://39.135.129.164/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226764/index.m3u8
辽宁影视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226738/index.m3u8
辽宁移动电视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226982/index.m3u8
辽阳新闻综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000280
丹东新闻综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000276
抚顺综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000275
朝阳新闻综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000282
本溪综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000312
盘锦新闻综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000283
营口新闻综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000278
葫芦岛新闻综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000284
铁岭新闻综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000281
锦州新闻综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000277
阜新综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000279
义县宣传,#genre#
义县方志,https://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/6bf89fd7aed3428f829f3c442327a21e/1200.m3u8
义县奉国寺,http://www.yizhouw.cn/upload/portal/video/shenqiyixian/2%E5%A5%89%E5%9B%BD%E5%AF%BA%20%E7%AC%AC%E4%BA%8C%E7%89%880%20%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.mp4
万佛堂,http://www.yizhouw.cn/upload/portal/video/shenqiyixian/3%E8%BE%BD%E9%AD%8F%E4%BD%9B%E5%9B%BD%E4%B8%80%E6%B0%B4%E9%97%B4%EF%BC%88%E4%BF%AE%E6%94%B9%E7%89%88%EF%BC%89.mp4
义县2023春晚,http://www.yizhouw.cn/upload/portal/video/daxinghuodong/2023%E6%98%A5%E6%99%9A.mp4
农民丰收节,http://www.yizhouw.cn/upload/portal/video/%E7%9F%AD%E8%A7%86%E9%A2%91/%E4%B8%B0%E6%94%B6%E8%8A%822023.mp4
好花生在义县,http://www.yizhouw.cn/upload/portal/video/%E7%9F%AD%E8%A7%86%E9%A2%91/%E5%A5%BD%E8%8A%B1%E7%94%9F%E5%9C%A8%E4%B9%89%E5%8E%BF.mp4
义县天鹅,http://www.yizhouw.cn/upload/portal/video/%E7%9F%AD%E8%A7%86%E9%A2%91/%E5%A4%A9%E9%B9%85.mp4
宝林楼,https://vd3.bdstatic.com/mda-pjj4msnq77veft18/sc/cae_h264/1697802409334318580/mda-pjj4msnq77veft18.mp4?v_from_s=hkapp-haokan-hbe&auth_key=1703054310-0-0-3b45cd50bb63150668bbe03c6210d310&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=2310460780&vid=8496990502519239981&klogid=2310460780&abtest=
12月1日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%881%E6%97%A5.mp4
12月2日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%882%E6%97%A5.mp4
12月3日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%883%E6%97%A5.mp4
12月4日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%884%E6%97%A5.mp4
12月5日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%885%E6%97%A5.mp4
12月6日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%886%E6%97%A5.mp4
12月7日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%887%E6%97%A5.mp4
12月8日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%888%E6%97%A5.mp4
12月9日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%889%E6%97%A5.mp4
12月10日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8810%E6%97%A5.mp4
12月11日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8811%E6%97%A5.mp4
12月12日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8812%E6%97%A5.mp4
12月13日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8813%E6%97%A5.mp4
12月14日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8814%E6%97%A5.mp4
12月15日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8815%E6%97%A5.mp4
12月16日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8816%E6%97%A5.mp4
12月17日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8817%E6%97%A5.mp4
12月18日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8818%E6%97%A5.mp4
12月19日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8819%E6%97%A5.mp4
12月20日新闻,http://www.yizhouw.cn/upload/portal/video/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB/%E4%B9%89%E5%8E%BF%E6%96%B0%E9%97%BB2023%E5%B9%B412%E6%9C%8820%E6%97%A5.mp4

咪咕体育,#genre#
咪咕直播-1,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000005308/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=3
咪咕直播-2,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000005969/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=3
咪咕直播-3,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000007218/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=3
咪咕直播-4,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000008001/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=3
咪咕直播-5,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000008176/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=3
咪咕直播-6,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000008379/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=3
咪咕直播-7,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000010129/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=3
咪咕直播-8,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000010948/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=3
咪咕直播-9,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000026778/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000026778&livemode=1&stbId=3
咪咕直播-10,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000028638/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=3
咪咕直播-11,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000031494/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000031494&livemode=1&stbId=3
咪咕直播-12,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000000097/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000000097&livemode=1&stbId=3
咪咕直播-13,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000002019/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002019&livemode=1&stbId=3
咪咕直播-14,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000002032/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002032&livemode=1&stbId=3
咪咕直播-15,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000002809/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002809&livemode=1&stbId=3
咪咕直播-16,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000003915/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000003915&livemode=1&stbId=3
咪咕直播-17,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000004193/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000004193&livemode=1&stbId=3
咪咕直播-18,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000004464/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000004464&livemode=1&stbId=3
咪咕直播-19,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000005837/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005837&livemode=1&stbId=3
咪咕直播-20,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000006077/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006077&livemode=1&stbId=3
咪咕直播-21,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000006658/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006658&livemode=1&stbId=3
咪咕直播-22,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000006944/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006944&livemode=1&stbId=3
咪咕直播-23,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000007692/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000007692&livemode=1&stbId=3
咪咕直播-24,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000009788/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000009788&livemode=1&stbId=3
咪咕直播-25,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000010833/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000010833&livemode=1&stbId=3
咪咕直播-26,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000011112/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011112&livemode=1&stbId=3
咪咕直播-27,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000011297/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011297&livemode=1&stbId=3
咪咕直播-28,http://zteres.sn.chinamobile.com:6060/000000001000/3000000010000011518/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=3
